DESNAN,CIIUR3,TNT,DESACT,CODACT,NANDINA,PUREZA,MINERAL,UNIDAD,MINERAL RES,TIPO_MINERAL,REFINADOS,INE,RESUMEN,ANIO
LOS DEMAS BORATOS DE SODIO NATURALES Y SUS CONCENTRADOS (INCLUSO CALCINADOS),1421,30,Boratos,C12,2528001090,C,ULEXITA,,ULEXITA,NO METALICO,,,OTROS,2018-2019
"LOS DEMAS BORATOS NATURALES Y SUS CONCENTRADOS (INCLUSO CALCINADOS), EXCEPTO LOS BORATOS EXTRAIDOS DE LAS SALMUERAS NATURALES; ACIDO BORICO NATURAL CON UN CONTENIDO DE H3BO3 INFERIOR O IGUAL AL 85%, C",1421,30,Boratos,C12,2528009000,C,ULEXITA,,ULEXITA,NO METALICO,,,OTROS,2018-2019
"LOS DEMAS BORATOS NATURALES Y SUS CONCENTRADOS (INCLUSO CALCINADOS),EXCEPTO LOS BORATOS EXTRAIDOS DE SALMUERAS NATURALES;ACIDO BORICO NATURAL CON UN CONT.DE H3BO3 INF.O IGUAL AL 85%VALORADO S/P SECO",1421,30,Boratos,C12,2528900000,C,ULEXITA,,ULEXITA,NO METALICO,,,OTROS,2010
BORATOS DE SODIO NATURALES Y SUS CONCENTRADOS (INCLUSO CALCINADOS),1421,30,Boratos,C12,2528100000,C,ULEXITA,,ULEXITA,NO METALICO,,,OTROS,2010
MINERALES DE VOLFRAMIO (TUNGSTENO) Y SUS CONCENTRADOS,1320,4,Wolfram,C5,2611000000,C,WOLFRAM,,WOLFRAM,CONCENTRADO,,WOLFRAM,WOLFRAM,2018-2019
YESO FRAGUABLE,2694,30,Otras Minas y Canteras,C11,2520200000,C,YESO,,YESO,NO METALICO,,,OTROS,2018-2019
YESO NATURAL;ANHIDRITA,1410,30,Otras Minas y Canteras,C11,2520100000,C,YESO,,YESO,NO METALICO,,,OTROS,2018-2019
"ESTEATITA NATURAL,TRITURADOS O PULVERIZADOS",1429,30,,C11,2526200000,C,YESO,,OTROS,NO METALICO,,,OTROS,2011
MINERAL DE CINC Y SUS CONCENTRADOS,1320,3,Mineral de Zinc,C4,2608000000,C,ZINC,,ZINC,CONCENTRADO,,ZINC,ZINC,2018-2019
MINERALES DE TITANIO Y SUS CONCENTRADOS,1320,30,Otros Minerales,C10,2614000000,C,TITANIO,,TITANIO,NO METALICO,,,OTROS,2020
